rating,userid,review,verified purchase
4,110562,"This phone's camera is amazing! Pictures are so clear and crisp. Battery lasts all day, no problem. Plus, it's priced really well for all the features it has.",0
4,372815,"I'm really impressed with this phone's camera quality. The photos are incredible, even in low light. Battery life is fantastic, and the price is unbeatable.",1
4,71530,"Great phone for the price! The camera takes stunning pictures, and the battery life is phenomenal. Highly recommend!",1
5,83242,"I was hesitant at first, but this phone has exceeded my expectations. The camera is top-notch, the battery lasts forever, and the price is very reasonable.",1
5,121785,"This phone's camera is a game-changer. Pictures are so sharp and vibrant. Battery life is fantastic, and I'm happy with the overall value for the money.",1
4,218957,"Love this phone! The camera is incredible, and the battery life is amazing. It's definitely worth the price.",0
5,335552,"The camera on this phone is seriously impressive. Photos are crystal clear, and the battery lasts all day. Great value for the price.",0
4,263210,"I'm loving this new phone! The camera is phenomenal, and the battery lasts all day. Plus, the price is very affordable.",1
4,232244,"Great phone for the price! The camera is fantastic, and the battery life is excellent. I'm very happy with this purchase.",1
4,399044,"This phone has exceeded my expectations. The camera is amazing, the battery lasts forever, and the price is very reasonable.",0
